order_id,date,time
1,2015-01-01,11:38:36
2,2015-01-01,11:57:40
3,2015-01-01,12:12:28
4,2015-01-01,12:16:31
5,2015-01-01,12:21:30
6,2015-01-01,12:29:36
7,2015-01-01,12:50:37
8,2015-01-01,12:51:37
9,2015-01-01,12:52:01
10,2015-01-01,13:00:15
11,2015-01-01,13:02:59
12,2015-01-01,13:04:41
13,2015-01-01,13:11:55
14,2015-01-01,13:14:19
15,2015-01-01,13:33:00
16,2015-01-01,13:34:07
17,2015-01-01,13:53:00
18,2015-01-01,13:57:08
19,2015-01-01,13:59:09
20,2015-01-01,14:03:08
21,2015-01-01,14:14:29
22,2015-01-01,14:16:26
23,2015-01-01,14:19:03
24,2015-01-01,14:23:01
25,2015-01-01,14:44:44
26,2015-01-01,14:54:26
27,2015-01-01,15:11:17
28,2015-01-01,15:35:46
29,2015-01-01,15:41:01
30,2015-01-01,15:41:25
31,2015-01-01,15:50:18
32,2015-01-01,15:53:18
33,2015-01-01,15:54:08
34,2015-01-01,16:21:21
35,2015-01-01,16:32:04
36,2015-01-01,16:54:09
37,2015-01-01,16:56:09
38,2015-01-01,17:03:00
39,2015-01-01,17:07:23
40,2015-01-01,17:14:36
41,2015-01-01,17:15:20
42,2015-01-01,17:28:09
43,2015-01-01,17:38:34
44,2015-01-01,17:54:20
45,2015-01-01,17:55:48
46,2015-01-01,18:25:51
47,2015-01-01,18:26:34
48,2015-01-01,18:26:42
49,2015-01-01,18:33:00
50,2015-01-01,18:41:01
51,2015-01-01,18:48:28
52,2015-01-01,18:53:02
53,2015-01-01,18:54:17
54,2015-01-01,19:01:45
55,2015-01-01,19:03:19
56,2015-01-01,19:07:00
57,2015-01-01,19:10:51
58,2015-01-01,19:30:40
59,2015-01-01,19:40:08
60,2015-01-01,20:05:16
61,2015-01-01,20:08:43
62,2015-01-01,20:50:16
63,2015-01-01,20:51:42
64,2015-01-01,20:52:08
65,2015-01-01,21:16:00
66,2015-01-01,21:47:55
67,2015-01-01,22:03:40
68,2015-01-01,22:07:32
69,2015-01-01,22:12:13
70,2015-01-02,11:38:51
71,2015-01-02,11:40:50
72,2015-01-02,11:57:25
73,2015-01-02,11:58:56
74,2015-01-02,12:01:12
75,2015-01-02,12:10:15
76,2015-01-02,12:21:17
77,2015-01-02,12:22:46
78,2015-01-02,12:28:14
79,2015-01-02,12:29:11
80,2015-01-02,12:35:38
81,2015-01-02,12:40:01
82,2015-01-02,12:45:51
83,2015-01-02,12:53:27
84,2015-01-02,13:13:41
85,2015-01-02,13:34:49
86,2015-01-02,13:40:31
87,2015-01-02,14:01:02
88,2015-01-02,14:10:08
89,2015-01-02,14:30:19
90,2015-01-02,15:08:48
91,2015-01-02,15:14:43
92,2015-01-02,15:17:02
93,2015-01-02,15:29:31
94,2015-01-02,16:17:16
95,2015-01-02,16:18:04
96,2015-01-02,16:21:20
97,2015-01-02,16:45:33
98,2015-01-02,17:18:18
99,2015-01-02,17:45:42
100,2015-01-02,17:46:17
101,2015-01-02,17:51:33
102,2015-01-02,17:54:04
103,2015-01-02,18:02:09
104,2015-01-02,18:02:12
105,2015-01-02,18:12:01
106,2015-01-02,18:12:13
107,2015-01-02,18:25:09
108,2015-01-02,18:25:25
109,2015-01-02,18:27:50
110,2015-01-02,18:36:19
111,2015-01-02,18:38:01
112,2015-01-02,18:41:40
113,2015-01-02,18:50:21
114,2015-01-02,18:59:32
115,2015-01-02,19:05:17
116,2015-01-02,19:18:49
117,2015-01-02,19:23:02
118,2015-01-02,19:26:59
119,2015-01-02,19:32:29
120,2015-01-02,19:35:07
121,2015-01-02,19:38:48
122,2015-01-02,19:50:19
123,2015-01-02,20:12:09
124,2015-01-02,20:12:34
125,2015-01-02,20:31:06
126,2015-01-02,20:53:42
127,2015-01-02,20:58:23
128,2015-01-02,21:05:06
129,2015-01-02,21:13:02
130,2015-01-02,21:14:55
131,2015-01-02,21:33:10
132,2015-01-02,21:42:45
133,2015-01-02,22:00:17
134,2015-01-02,22:13:24
135,2015-01-02,22:29:34
136,2015-01-02,22:32:49
137,2015-01-03,11:34:10
138,2015-01-03,11:44:50
139,2015-01-03,11:57:39
140,2015-01-03,12:26:44
141,2015-01-03,13:16:01
142,2015-01-03,13:33:59
143,2015-01-03,13:41:36
144,2015-01-03,13:44:28
145,2015-01-03,13:53:48
146,2015-01-03,14:22:10
147,2015-01-03,14:32:51
148,2015-01-03,14:40:42
149,2015-01-03,14:48:45
150,2015-01-03,14:49:58
151,2015-01-03,15:09:34
152,2015-01-03,15:09:42
153,2015-01-03,15:16:34
154,2015-01-03,15:22:43
155,2015-01-03,15:28:59
156,2015-01-03,15:42:19
157,2015-01-03,15:43:03
158,2015-01-03,15:54:30
159,2015-01-03,15:59:22
160,2015-01-03,16:35:33
161,2015-01-03,16:43:46
162,2015-01-03,16:51:22
163,2015-01-03,16:54:54
164,2015-01-03,16:56:33
165,2015-01-03,16:57:37
166,2015-01-03,16:58:51
167,2015-01-03,17:00:49
168,2015-01-03,17:02:27
169,2015-01-03,17:15:48
170,2015-01-03,17:21:31
171,2015-01-03,17:23:03
172,2015-01-03,17:29:24
173,2015-01-03,17:35:30
174,2015-01-03,17:37:49
175,2015-01-03,17:50:51
176,2015-01-03,17:51:57
177,2015-01-03,17:54:36
178,2015-01-03,18:15:03
179,2015-01-03,18:20:14
180,2015-01-03,18:33:34
181,2015-01-03,18:49:32
182,2015-01-03,18:50:10
183,2015-01-03,18:54:55
184,2015-01-03,18:59:05
185,2015-01-03,19:08:33
186,2015-01-03,19:36:00
187,2015-01-03,19:37:12
188,2015-01-03,20:08:39
189,2015-01-03,20:12:14
190,2015-01-03,20:14:23
191,2015-01-03,20:24:50
192,2015-01-03,20:30:08
193,2015-01-03,20:55:47
194,2015-01-03,21:21:24
195,2015-01-03,21:25:20
196,2015-01-03,21:40:14
197,2015-01-03,21:47:48
198,2015-01-03,21:55:42
199,2015-01-03,22:10:38
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
